time;cpu;memory
Database startup;;1692394582586085;
1692394592620355;86.7;17152
1692394592779495;80.0;21448
1692394592938333;73.3;21456
1692394593097144;73.3;21456
1692394593254888;73.3;21456
1692394593413697;73.3;21492
1692394593571595;50.0;21500
1692394593729672;60.0;21544
1692394593887978;60.0;21544
1692394594046017;60.0;21572
1692394594205444;66.7;21572
1692394594364213;60.0;21580
1692394594522921;56.2;21580
1692394594681424;66.7;21584
1692394594839183;66.7;21596
1692394594997577;66.7;21596
1692394595155532;66.7;21596
1692394595313746;66.7;21604
1692394595471268;68.8;21620
1692394595630823;46.7;21620
1692394595790123;53.3;21620
1692394595948109;53.3;21624
1692394596105887;53.3;21624
1692394596263605;60.0;21624
1692394596422527;56.2;21624
1692394596580175;46.7;21628
1692394596738477;60.0;21632
1692394596896422;53.3;21632
1692394597054360;60.0;21636
1692394597212067;62.5;21636
1692394597369867;66.7;21640
1692394597528718;60.0;21644
1692394597686999;53.3;21644
1692394597845956;60.0;21644
1692394598005321;53.3;21644
1692394598163027;50.0;21644
1692394598320644;60.0;21632
1692394598478329;60.0;21632
1692394598636092;46.7;21632
1692394598793886;53.3;21644
1692394598951649;56.2;21644
1692394599109882;66.7;21644
1692394599267766;66.7;21640
1692394599425418;53.3;21644
1692394599583167;50.0;21648
1692394599742958;62.5;21648
1692394599900858;60.0;21652
1692394600058558;60.0;21656
1692394600216344;66.7;21656
1692394600374105;53.3;21652
1692394600532187;56.2;21652
1692394600690254;53.3;21652
1692394600849021;60.0;21656
1692394601006826;60.0;21656
1692394601164839;60.0;21656
1692394601323079;62.5;21660
1692394601480834;66.7;21660
1692394601639611;60.0;21664
1692394601798040;66.7;21636
1692394601955800;53.3;21640
1692394602113524;66.7;21640
1692394602271428;56.2;21644
1692394602429168;60.0;21644
1692394602587116;60.0;21644
1692394602745590;53.3;21644
1692394602908383;53.3;21652
1692394603066554;60.0;21660
1692394603224237;53.3;21660
1692394603381959;56.2;21660
1692394603540018;46.7;21652
1692394603698217;53.3;21640
1692394603856681;60.0;21640
1692394604014942;53.3;21640
1692394604173698;66.7;21640
1692394604331672;62.5;21644
1692394604489752;60.0;21680
1692394604649278;60.0;21716
1692394604807234;60.0;21768
1692394604965049;53.3;21772
1692394605136955;60.0;21780
1692394605294949;66.7;21780
1692394605453374;66.7;21780
1692394605611354;50.0;21780
1692394605769845;60.0;21784
1692394605929179;53.3;21784
1692394606087922;60.0;21788
1692394606245728;53.3;21788
1692394606403372;60.0;21788
1692394606561208;53.3;21788
1692394606719952;53.3;21792
1692394606877618;53.3;21792
1692394607035321;60.0;21792
1692394607193126;56.2;21796
1692394607351789;56.2;21800
1692394607509663;53.3;21804
1692394607669107;53.3;21804
1692394607827039;53.3;21804
1692394607986575;60.0;21804
1692394608146462;60.0;21808
1692394608304813;60.0;21808
1692394608462824;56.2;21808
1692394608620894;53.3;21808
1692394608779010;60.0;21808
1692394608936744;66.7;21808
1692394609095354;66.7;21808
1692394609254982;60.0;21808
1692394609417899;66.7;21804
1692394609576386;46.7;21800
1692394609736913;60.0;21772
1692394609894811;60.0;21772
1692394610052202;50.0;21772
1692394610211494;56.2;21760
1692394610369426;66.7;21760
1692394610528266;60.0;21736
1692394610686504;53.3;21740
1692394610844385;53.3;21740
1692394611002338;56.2;21736
1692394611160074;53.3;21728
1692394611317769;53.3;21716
1692394611475616;60.0;21716
1692394611633638;53.3;21716
1692394611793372;60.0;21716
1692394611951050;60.0;21716
1692394612108661;60.0;21716
1692394612266833;60.0;21720
1692394612425344;60.0;21720
1692394612583308;50.0;21720
1692394612741296;56.2;21680
1692394612899701;60.0;21680
1692394613058510;60.0;21680
1692394613218545;60.0;21680
1692394613376442;60.0;21684
1692394613535671;66.7;21684
1692394613693358;60.0;21684
1692394613851019;73.3;21684
1692394614010207;60.0;21684
1692394614172631;60.0;21684
1692394614330472;53.3;21684
1692394614489596;60.0;21684
1692394614647521;46.7;21684
1692394614805233;53.3;21684
1692394614962922;50.0;21684
1692394615120654;53.3;21688
1692394615280301;60.0;21692
1692394615438052;66.7;21696
1692394615596048;53.3;21696
1692394615753757;60.0;21696
1692394615912846;56.2;21696
1692394616070620;66.7;21696
1692394616228019;66.7;21696
1692394616386218;66.7;21696
1692394616544086;60.0;21700
1692394616702677;50.0;21700
1692394616861020;60.0;21700
1692394617019136;60.0;21700
1692394617176779;53.3;21700
1692394617334621;53.3;21700
1692394617494057;53.3;21700
1692394617651931;43.8;21700
1692394617809732;60.0;21700
1692394617967850;53.3;21700
1692394618126112;60.0;21700
1692394618283891;53.3;21700
1692394618441997;50.0;21700
1692394618599884;53.3;21704
1692394618757960;66.7;21704
1692394618915934;60.0;21704
1692394619073615;53.3;21704
1692394619231603;56.2;21704
1692394619389614;60.0;21704
1692394619547563;60.0;21704
1692394619705377;53.3;21704
1692394619863355;56.2;21704
1692394620021298;56.2;21708
1692394620180549;60.0;21708
1692394620338462;60.0;21708
1692394620496520;53.3;21708
1692394620654593;46.7;21712
1692394620812314;56.2;21712
1692394620970427;66.7;21712
1692394621129130;60.0;21712
1692394621288500;53.3;21712
1692394621446378;60.0;21712
1692394621605724;53.3;21716
1692394621764889;60.0;21716
1692394621923142;56.2;21716
1692394622080995;66.7;21716
1692394622240264;60.0;21720
1692394622398771;60.0;21720
1692394622556854;60.0;21720
1692394622716488;53.3;21720
1692394622875515;53.3;21720
1692394623033314;60.0;21724
1692394623191288;56.2;21724
1692394623349673;60.0;21724
1692394623507832;53.3;21724
1692394623666432;46.7;21728
1692394623889274;33.3;21728
1692394624116355;26.7;21732
1692394624372340;31.2;21732
1692394624658244;26.7;21736
1692394624911647;31.2;21736
1692394625158271;26.7;21736
1692394625414226;33.3;21648
1692394625666169;20.0;21648
1692394625915487;26.7;21656
1692394626161080;33.3;21656
1692394626411854;31.2;21652
1692394626686979;33.3;21656
1692394626937512;33.3;21660
1692394627192275;31.2;21660
1692394627443351;31.2;21660
1692394627689922;33.3;21660
1692394627938425;26.7;21660
1692394628179708;33.3;21664
1692394628427283;33.3;21664
1692394628671826;25.0;21672
1692394628927868;26.7;21672
1692394629198350;26.7;21676
1692394629358602;53.3;21676
1692394629517580;53.3;21676
1692394629675517;60.0;21676
1692394629834039;53.3;21676
1692394629993842;75.0;21676
1692394630155449;66.7;21676
1692394630419588;33.3;21680
1692394630592408;31.2;21684
1692394630778331;26.7;21684
1692394630978154;20.0;21684
1692394631137027;33.3;21688
1692394631300850;33.3;21688
1692394631567467;33.3;21648
1692394631819625;33.3;21648
1692394632073961;31.2;21656
1692394632232189;25.0;21656
1692394632476091;33.3;21656
1692394632644214;26.7;21660
1692394632889457;26.7;21660
1692394633132655;37.5;21660
1692394633328291;33.3;21664
1692394633489524;40.0;21664
1692394633647983;33.3;21664
1692394633840339;33.3;21664
1692394634004882;33.3;21664
1692394634268612;40.0;21664
1692394634427209;26.7;21664
1692394634664019;33.3;21664
1692394634934050;26.7;21664
1692394635094733;26.7;21628
1692394635350259;33.3;21628
1692394635592722;31.2;21628
1692394635821682;31.2;21600
1692394635982453;31.2;21604
1692394636143629;31.2;21604
1692394636309937;40.0;21604
1692394636470766;33.3;21604
1692394636715107;33.3;21604
1692394636968993;26.7;21604
1692394637256383;26.7;21604
1692394637462165;18.8;21604
1692394637663732;25.0;21604
1692394637823179;31.2;21612
1692394638012917;25.0;21612
1692394638252336;25.0;21612
1692394638514970;33.3;21616
1692394638673172;25.0;21616
1692394638929335;26.7;21616
1692394639192645;31.2;21612
1692394639449967;40.0;21620
1692394639714696;33.3;21620
1692394639873493;37.5;21620
1692394640065279;33.3;21620
1692394640297799;33.3;21624
1692394640533739;33.3;21624
1692394640708085;33.3;21624
1692394640974690;33.3;21624
1692394641213137;31.2;21624
1692394641446649;26.7;21612
1692394641680525;26.7;21572
1692394641934766;33.3;21576
1692394642175088;40.0;21576
1692394642417722;33.3;21580
1692394642650521;33.3;21580
1692394642920794;46.7;21584
1692394643123425;31.2;21584
1692394643284106;37.5;21588
1692394643445115;26.7;21588
1692394643686749;26.7;21592
1692394643875075;33.3;21592
1692394644046969;33.3;21592
1692394644235715;33.3;21592
1692394644431393;31.2;21592
1692394644589522;26.7;21592
1692394644800990;33.3;21592
1692394644992285;31.2;21596
1692394645177846;33.3;21596
1692394645386368;33.3;21596
1692394645596507;37.5;21596
1692394645790795;40.0;21596
1692394646010919;87.5;21596
1692394646172633;31.2;21596
1692394646336776;33.3;21600
1692394646506975;33.3;21600
1692394646716242;26.7;21600
1692394646982426;25.0;21600
1692394647213375;25.0;21600
1692394647461003;33.3;21600
1692394647620043;26.7;21600
1692394647778675;26.7;21600
1692394648047680;33.3;21568
1692394648312235;31.2;21536
1692394648587694;33.3;21540
1692394648794404;26.7;21540
1692394648953836;26.7;21540
1692394649248436;33.3;21544
1692394649514503;20.0;21544
1692394649674464;33.3;21544
1692394649865630;26.7;21544
1692394650024407;26.7;21544
1692394650185511;26.7;21548
1692394650447467;33.3;21552
1692394650723296;25.0;21552
1692394650994210;26.7;21552
1692394651168417;26.7;21552
1692394651335167;26.7;21552
1692394651493394;25.0;21556
1692394651652021;25.0;21556
1692394651809950;26.7;21560
1692394652057863;20.0;21560
1692394652310343;33.3;21560
1692394652581194;33.3;21560
1692394652854578;40.0;21516
1692394653064685;26.7;21520
1692394653326166;33.3;21524
1692394653486014;26.7;21524
1692394653698987;25.0;21524
1692394653858343;33.3;21524
1692394654066708;33.3;21524
1692394654272315;31.2;21524
1692394654514438;26.7;21524
1692394654744814;33.3;21524
1692394654972367;25.0;21524
1692394655212092;31.2;21524
1692394655369925;33.3;21524
1692394655617926;33.3;21524
1692394655775976;33.3;21524
1692394655992903;31.2;21528
1692394656216661;26.7;21528
1692394656471406;31.2;21528
1692394656701296;31.2;21488
1692394656859180;26.7;21492
1692394657088756;26.7;21492
1692394657334033;33.3;21492
1692394657491967;31.2;21496
1692394657718508;26.7;21496
1692394657943925;26.7;21452
1692394658161523;31.2;21428
1692394658379077;33.3;21428
1692394658623640;33.3;21428
1692394658849646;33.3;21436
1692394659096676;40.0;21436
1692394659368627;33.3;21436
1692394659581270;31.2;21436
1692394659793774;26.7;21436
1692394660002233;31.2;21436
